# [0]SEQN, [1]Timestamp, [2]VCC, [3]Gyro_X, [4]Gyro_Y, [5]Gyro_Z, [6]Acc_X, [7]Acc_Y, [8]Acc_Z, [9]Magn_X, [10]Magn_Y, [11]Magn_Z, [12]Temp, [13]Aux_ADC
90513,117849236965764,5.058456,0.25,0.6,0.35,9.7641872055,0.065312289,0.1632807225,7.155e-05,2.075e-05,4.9e-06,31.58,0
90513,117849238025466,5.058456,0.3,0.65,0.55,9.7641872055,0.065312289,0.1632807225,7.15e-05,2.075e-05,4.95e-06,31.58,0
90513,117849239423130,5.058456,0.3,0.65,0.6,9.79684335,0.065312289,0.1632807225,7.155e-05,2.075e-05,4.95e-06,31.58,0
90513,117849240514679,5.058456,0.25,0.6,0.4,9.8294994945,0.065312289,0.1632807225,7.16e-05,2.075e-05,5e-06,31.58,0
90513,117849241869181,5.058456,0.3,0.6,0.2,9.8294994945,0.065312289,0.1632807225,7.165e-05,2.08e-05,5.05e-06,31.58,0
90513,117849243016813,5.058456,0.35,0.6,0.05,9.8294994945,0.0326561445,0.1632807225,7.17e-05,2.08e-05,5.05e-06,31.58,0
90513,117849244316769,5.058456,0.3,0.55,0.1,9.862155639,0.0326561445,0.195936867,7.165e-05,2.085e-05,5.05e-06,31.58,0
90513,117849245519785,5.058456,0.3,0.45,0.35,9.862155639,0.0326561445,0.195936867,7.16e-05,2.085e-05,5.05e-06,31.58,0
90514,117849246771410,5.058456,0.2,0.25,0.5,9.862155639,0.0326561445,0.195936867,7.155e-05,2.085e-05,5e-06,31.58,0
90514,117849247990420,5.058456,0.0,0.0,0.5,9.862155639,0.0326561445,0.195936867,7.155e-05,2.08e-05,4.9e-06,31.58,0
90514,117849249036363,5.058456,-0.1,-0.25,0.4,9.8948117835,0.0326561445,0.195936867,7.155e-05,2.08e-05,4.85e-06,31.58,0
90514,117849250442757,5.058456,-0.1,-0.25,0.3,9.862155639,0.0326561445,0.195936867,7.165e-05,2.07e-05,4.8e-06,31.58,0
90514,117849251527462,5.058456,0.05,-0.1,0.2,9.862155639,0.0326561445,0.1632807225,7.17e-05,2.07e-05,4.75e-06,31.58,0
90514,117849252893628,5.058456,0.25,0.15,0.3,9.8294994945,0.0326561445,0.195936867,7.175e-05,2.07e-05,4.8e-06,31.58,0
90514,117849254028548,5.058456,0.45,0.35,0.4,9.79684335,0.0326561445,0.195936867,7.165e-05,2.075e-05,4.9e-06,31.58,0
90514,117849255346314,5.058456,0.4,0.3,0.55,9.8294994945,0.0326561445,0.195936867,7.16e-05,2.08e-05,4.95e-06,31.58,0
90514,117849256530403,5.058456,0.2,0.1,0.65,9.8294994945,0.0326561445,0.195936867,7.155e-05,2.08e-05,5e-06,31.58,0
90514,117849257795438,5.058456,-0.1,0.1,0.6,9.8294994945,0.0326561445,0.195936867,7.155e-05,2.08e-05,5e-06,31.58,0
90514,117849259031419,5.058456,-0.45,0.15,0.55,9.862155639,0.0326561445,0.1632807225,7.155e-05,2.08e-05,5e-06,31.58,0
90514,117849260044607,5.058456,-0.6,0.15,0.4,9.8294994945,0.0326561445,0.1632807225,7.16e-05,2.08e-05,5e-06,31.58,0
90514,117849261466785,5.058456,-0.6,0.25,0.35,9.8294994945,0.0326561445,0.1632807225,7.16e-05,2.085e-05,5e-06,31.58,0
90514,117849262536404,5.058456,-0.55,0.2,0.45,9.8294994945,0.0326561445,0.1632807225,7.16e-05,2.09e-05,4.95e-06,31.58,0
90515,117849263915979,5.060874,-0.4,0.15,0.55,9.79684335,0.0326561445,0.195936867,7.155e-05,2.09e-05,4.95e-06,31.58,0
90515,117849265048316,5.060874,-0.35,0.3,0.65,9.79684335,0.0326561445,0.195936867,7.15e-05,2.09e-05,4.95e-06,31.58,0
90515,117849266368386,5.058456,-0.3,0.35,0.6,9.79684335,0.0326561445,0.195936867,7.145e-05,2.085e-05,4.95e-06,31.58,0
90515,117849267545002,5.058456,-0.2,0.4,0.35,9.8294994945,0.0326561445,0.2285930115,7.145e-05,2.08e-05,4.95e-06,31.58,0
90515,117849268819954,5.058456,-0.05,0.3,0.0,9.862155639,0.0326561445,0.195936867,7.15e-05,2.075e-05,5e-06,31.58,0
90515,117849270042596,5.058456,0.05,0.2,-0.2,9.862155639,0.0326561445,0.195936867,7.155e-05,2.075e-05,5e-06,31.58,0
90515,117849271056342,5.058456,0.1,0.15,-0.1,9.862155639,0.0326561445,0.195936867,7.155e-05,2.075e-05,4.95e-06,31.58,0
90515,117849272492279,5.058456,0.1,0.1,0.25,9.862155639,0.0326561445,0.1632807225,7.155e-05,2.075e-05,4.95e-06,31.58,0
90515,117849273549117,5.058456,0.0,0.2,0.55,9.8294994945,0.0326561445,0.1632807225,7.155e-05,2.075e-05,4.9e-06,31.58,0
90515,117849274943778,5.058456,0.15,0.25,0.6,9.8294994945,0.0,0.130624578,7.155e-05,2.075e-05,4.9e-06,31.58,0
90515,117849276045384,5.058456,0.3,0.15,0.5,9.8294994945,0.0,0.130624578,7.155e-05,2.075e-05,4.95e-06,31.58,0
90515,117849277392134,5.058456,0.55,0.15,0.25,9.8294994945,0.0,0.1632807225,7.155e-05,2.075e-05,4.95e-06,31.58,0
90515,117849278551080,5.058456,0.8,0.15,0.05,9.79684335,0.0326561445,0.130624578,7.15e-05,2.075e-05,4.95e-06,31.58,0
90515,117849279842655,5.058456,0.85,0.25,0.0,9.79684335,0.0326561445,0.130624578,7.15e-05,2.075e-05,4.95e-06,31.58,0
90515,117849281051049,5.058456,0.65,0.5,0.0,9.8294994945,0.0326561445,0.130624578,7.15e-05,2.075e-05,4.95e-06,31.58,0
90516,117849282065284,5.058456,0.35,0.6,0.05,9.8294994945,0.0326561445,0.130624578,7.15e-05,2.075e-05,4.95e-06,31.58,0
90516,117849283518472,5.058456,0.0,0.5,0.15,9.862155639,0.0326561445,0.130624578,7.15e-05,2.075e-05,4.95e-06,31.58,0
90516,117849284557640,5.058456,-0.25,0.4,0.3,9.862155639,0.0326561445,0.130624578,7.155e-05,2.075e-05,4.95e-06,31.58,0
90516,117849285970809,5.058456,-0.35,0.3,0.45,9.862155639,0.0326561445,0.1632807225,7.16e-05,2.08e-05,4.95e-06,31.58,0
90516,117849287060193,5.058456,-0.35,0.3,0.65,9.862155639,0.0,0.1632807225,7.17e-05,2.085e-05,4.95e-06,31.58,0
